"Carimbo de data/hora","Os Yanomami falam todos a mesma língua","Os Yanomami vivem exclusivamente na floresta amazônica brasileira","Os Yanomami usam cestos para transportar itens pela floresta?","O Yãkoana é usado para :","Maturacá é o nome de uma:","Um algoritmo que testa todas as combinações possíveis é:  ","A complexidade do problema do Caminho dos Povos é:  ","Um algorítimo que escolhe a melhor solução local é:"
"2025/11/04 10:43:54 AM GMT-3","Falso","Não tenho certeza","Sim","Não tenho certeza","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:46:24 AM GMT-3","Falso","Verdadeiro","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:47:28 AM GMT-3","Falso","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:48:43 AM GMT-3","Falso","Falso","Sim","Rituais","Um Fruto","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:48:50 AM GMT-3","Falso","Falso","Sim","Rituais","Um Fruto","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:48:50 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:48:57 AM GMT-3","Falso","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:48:59 AM GMT-3","Falso","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:49:13 AM GMT-3","Falso","Verdadeiro","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:49:51 AM GMT-3","Falso","Verdadeiro","Sim","Artesanato","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:50:43 AM GMT-3","Verdadeiro","Verdadeiro","Sim","Rituais","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:53:47 AM GMT-3","Falso","Falso","Sim","Rituais","Uma planta","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:54:11 AM GMT-3","Falso","Verdadeiro","Sim","Não tenho certeza","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:54:11 AM GMT-3","Verdadeiro","Falso","Sim","Rituais","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:54:37 AM GMT-3","Falso","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:55:01 AM GMT-3","Falso","Falso","Sim","Rituais","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:55:21 AM GMT-3","Falso","Falso","Sim","Alimentação","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:55:29 AM GMT-3","Falso","Falso","Não","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:56:20 AM GMT-3","Falso","Falso","Sim","Alimentação","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:56:20 AM GMT-3","Falso","Falso","Sim","Alimentação","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:56:59 AM GMT-3","Falso","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 11:00:16 AM GMT-3","Falso","Falso","Sim","Rituais","Uma planta","Força-Bruta","fatorialmene","Não tenho certeza"
"2025/11/04 11:02:56 AM GMT-3","Verdadeiro","Verdadeiro","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Backtracking"
"2025/11/04 11:03:23 AM GMT-3","Falso","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 11:04:17 AM GMT-3","Verdadeiro","Falso","Sim","Rituais","Comunidade Yanomami","Força-Bruta","fatorialmene","Guloso"
