"Carimbo de data/hora","Carapanaúba é o nome dado para:","O Arumã é usado para:","Os Yanomami usam cestos para transportar itens pela floresta?","O Yãkoana é usado para :","O Jenipapo é:","Um algoritmo que testa todas as combinações possíveis é:  ","A complexidade do Problema do Cesto cresce:  ","Um algorítimo que escolhe a melhor solução local é:"
"2025/10/14 4:19:00 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Rapido","Exponencialmente","Guloso"
"2025/10/14 4:19:12 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/14 4:21:24 PM GMT-3","Arvore","Artesanato","Sim","Não tenho certeza","Uma Planta","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:21:43 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:22:22 PM GMT-3","Arvore","Artesanato","Sim","Alimentação","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:23:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/14 4:23:35 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Uma Planta","Lento","Exponencialmente","Guloso"
"2025/10/14 4:24:16 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","sub-ótimo","Exponencialmente","Guloso"
"2025/10/14 4:27:48 PM GMT-3","Arvore","Artesanato","Sim","Não tenho certeza","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:32:03 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/14 4:33:05 PM GMT-3","Planta","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:32:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Uma Planta","Lento","Exponencialmente","Guloso"
"2025/10/17 2:34:08 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:34:12 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
